Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1973,18.1,24.7,12.8,-,16.6,114,8,63,75,0,0
1974,18.6,25.5,13.0,-,14.9,110,4,42,97,0,1
1975,18.5,25.9,12.0,-,15.4,99,5,48,82,0,0
1976,17.8,25.6,11.1,-,13.9,105,5,50,80,0,1
1977,18.8,26.4,12.0,-,14.8,91,5,41,79,0,0
1978,17.8,25.4,11.1,-,14.9,91,18,37,97,0,0
1979,17.5,24.9,10.9,939.82,15.5,105,15,51,112,0,0
1980,19.1,27.0,12.1,587.99,15.8,83,5,31,66,0,0
1981,18.4,25.8,11.7,1201.68,16.0,98,3,39,113,0,0
1982,18.3,25.6,12.1,1209.78,17.9,108,9,57,94,0,1
1983,17.3,24.2,11.1,877.80,17.9,80,13,33,93,0,0
1984,18.6,26.0,12.6,935.19,18.9,101,0,41,102,0,2
1985,18.3,25.4,12.1,1113.00,18.6,89,8,41,94,0,0
1986,18.8,25.8,12.9,881.35,17.7,107,4,53,110,0,1
1987,18.5,25.9,11.8,803.16,18.2,110,4,60,104,0,1
1988,18.7,26.4,12.1,639.78,18.2,96,8,53,76,0,1
1989,17.9,25.4,11.8,979.69,17.9,96,9,45,102,0,0
1990,19.3,26.6,12.5,1270.51,15.5,119,4,58,101,0,2
1991,18.7,25.8,12.3,1424.12,15.1,118,1,50,103,0,0
1992,18.7,25.6,12.5,1199.09,12.8,125,4,60,111,0,0
1993,18.4,25.3,12.2,959.02,16.1,116,5,45,103,0,0
1994,18.9,25.8,12.5,1258.56,16.0,124,6,73,112,0,3
1995,18.8,26.0,12.2,934.69,17.7,106,4,50,97,0,3
1996,18.4,25.5,12.5,695.21,18.5,91,10,50,44,0,2
1997,18.0,23.8,13.3,1157.26,16.3,100,7,46,11,0,0
1998,20.3,26.1,15.5,848.83,17.3,96,2,45,14,0,0
1999,20.3,26.9,14.7,-,17.1,82,0,49,10,0,2
2000,19.7,26.4,13.7,-,17.0,97,5,46,7,0,0
2001,18.6,25.1,12.8,1040.50,16.3,100,1,49,13,0,0
2002,-,-,-,-,-,100,5,44,7,0,3
2003,18.9,26.1,12.7,773.63,16.7,80,3,38,3,0,0
2004,19.1,25.6,13.4,1324.34,16.3,111,4,40,13,0,0
2005,-,-,-,-,-,-,-,-,-,-,-
2006,20.7,28.1,14.2,768.81,17.9,75,1,39,9,0,0
2007,19.6,25.9,14.1,1266.66,15.8,125,7,64,18,0,0
2008,20.3,27.8,13.7,666.24,18.2,83,6,47,8,0,2
2009,19.0,26.2,12.9,1049.46,17.0,102,7,43,19,0,1
2010,19.3,26.1,13.2,840.44,16.6,82,8,32,7,0,1
2011,20.3,27.4,13.7,677.65,17.8,51,5,20,5,0,0
2012,20.6,27.8,14.2,854.95,16.4,69,4,24,6,0,0
2013,19.0,26.0,12.5,795.00,17.0,111,6,41,10,0,1
2014,18.9,26.2,12.4,511.56,18.4,101,9,40,8,0,0
2015,19.5,26.1,13.4,1540.24,16.1,121,10,56,16,0,0
2016,20.5,27.2,14.6,961.86,16.7,112,0,64,9,0,0
2017,-,-,-,-,-,-,-,-,-,-,-
